Target,Source,Weight,Type
USPEC_POLITICS_GENERAL1,donald trump,5804,directed
TAX_POLITICAL_PARTY,donald trump,4994,directed
TAX_POLITICAL_PARTY_REPUBLICAN,donald trump,4463,directed
LEADER,donald trump,4412,directed
TAX_FNCACT_NOMINEE,donald trump,3390,directed
TAX_FNCACT_PRESIDENT,donald trump,3275,directed
ELECTION,donald trump,3164,directed
TAX_FNCACT_CANDIDATE,donald trump,3054,directed
EPU_POLICY_POLITICAL,donald trump,2271,directed
CRISISLEX_T11_UPDATESSYMPATHY,donald trump,2145,directed
SOC_POINTSOFINTEREST_UNIVERSITY,donald trump,1842,directed
TRIAL,donald trump,1835,directed
TAX_ETHNICITY_AMERICAN,donald trump,1640,directed
DEMOCRACY,hillary clinton,1618,directed
EPU_CATS_NATIONAL_SECURITY,donald trump,1370,directed
TAX_POLITICAL_PARTY_DEMOCRATS,hillary clinton,1265,directed
TAX_FNCACT_MINISTER,narendra modi,1221,directed
TAX_FNCACT_VETERANS,donald trump,1214,directed
TAX_FNCACT_PRIME_MINISTER,narendra modi,1160,directed
EPU_POLICY_WHITE_HOUSE,donald trump,1145,directed
TAX_FNCACT_SECRETARY,hillary clinton,1143,directed
TAX_FNCACT_CANDIDATES,donald trump,1127,directed
TAX_POLITICAL_PARTY_REPUBLICANS,donald trump,1122,directed
ECON_HOUSING_PRICES,donald trump,1113,directed
TAX_ETHNICITY_AMERICANS,donald trump,1110,directed
TAX_FNCACT_OFFICER,los angeles,1109,directed
TAX_FNCACT_OFFICERS,los angeles,1063,directed
TAX_FNCACT_REPORTER,donald trump,1052,directed
TAX_FNCACT_LEADER,donald trump,1044,directed
TAX_FNCACT_VETERAN,donald trump,947,directed
TAX_FNCACT_JUDGE,donald trump,944,directed
TAX_WORLDMAMMALS_FOX,donald trump,924,directed
PROTEST,donald trump,919,directed
TAX_FNCACT_SECRETARY_OF_STATE,hillary clinton,893,directed
TAX_FNCACT_SUPPORTERS,hillary clinton,890,directed
CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE,los angeles,872,directed
TAX_FNCACT_VICTIMS,los angeles,828,directed
TAX_FNCACT_WRITER,donald trump,821,directed
TAX_FNCACT_SENATOR,hillary clinton,788,directed
TAX_FNCACT_DIRECTOR,donald trump,772,directed
TAX_FNCACT_CHIEF,los angeles,768,directed
TAX_FNCACT_CHANCELLOR,angela merkel,744,directed
CORRUPTION,donald trump,700,directed
TAX_FNCACT_MUSICIAN,jeff daniels,687,directed
TAX_ETHNICITY_GERMAN,angela merkel,683,directed
TAX_WORLDLANGUAGES_GERMAN,angela merkel,683,directed
IMMIGRATION,donald trump,680,directed
EPU_POLICY_CONGRESS,barack obama,651,directed
TAX_POLITICAL_PARTY_DEMOCRAT,hillary clinton,647,directed
SOC_POINTSOFINTEREST_COLLEGE,donald trump,645,directed
TAX_FNCACT_EXECUTIVE,donald trump,644,directed
TAX_FNCACT_GOVERNOR,donald trump,644,directed
TAX_ETHNICITY_JAPANESE,shinzo abe,643,directed
TAX_WORLDLANGUAGES_JAPANESE,shinzo abe,643,directed
TAX_MILITARY_TITLE_OFFICER,los angeles,613,directed
TAX_FNCACT_BUSINESSMAN,donald trump,597,directed
TAX_ETHNICITY_TURKISH,tayyip erdogan,567,directed
TAX_WORLDLANGUAGES_TURKISH,tayyip erdogan,566,directed
TAX_WORLDMAMMALS_DOGS,jeff daniels,564,directed
TAX_POLITICAL_PARTY_DEMOCRATIC_PARTY,hillary clinton,563,directed
TAX_FNCACT_SPOKESMAN,donald trump,562,directed
TAX_FNCACT_ATTORNEY,los angeles,548,directed
WB_2019_ANTI_CORRUPTION_LEGISLATION,donald trump,526,directed
TAX_FNCACT_MAYOR,rodrigo duterte,523,directed
TAX_FNCACT_POLITICIAN,donald trump,517,directed
TAX_WORLDLANGUAGES_RUSSIA,vladimir putin,515,directed
TAX_WORLDLANGUAGES_RUSSIAN,vladimir putin,506,directed
TAX_FNCACT_SPOKESWOMAN,donald trump,505,directed
UNREST_BELLIGERENT,donald trump,505,directed
TAX_ETHNICITY_RUSSIAN,vladimir putin,502,directed
WB_2020_BRIBERY_FRAUD_AND_COLLUSION,donald trump,502,directed
TAX_FNCACT_LAWMAKERS,bruce rauner,499,directed
TAX_FNCACT_VETS,donald trump,499,directed
EPU_POLICY_LAWMAKERS,bruce rauner,498,directed
TAX_FNCACT_TROOPS,donald trump,497,directed
TAX_WORLDFISH_SHARKS,jeff daniels,466,directed
TAX_FNCACT_REPRESENTATIVES,donald trump,462,directed
TAX_FNCACT_MERCHANT,jeff daniels,460,directed
TAX_POLITICAL_PARTY_REPUBLICAN_PARTY,donald trump,456,directed
WB_164_MODES_OF_TRANSPORT,john lethbridge,453,directed
WB_165_AIR_TRANSPORT,john lethbridge,453,directed
TAX_FNCACT_POLICE_CHIEF,los angeles,447,directed
TAX_FNCACT_POLITICIANS,donald trump,447,directed
TAX_FNCACT_EDITOR,donald trump,439,directed
IDEOLOGY,donald trump,431,directed
EXTREMISM,donald trump,425,directed
TAX_WEAPONS_GUN,los angeles,422,directed
WB_2837_IMMIGRATION,donald trump,417,directed
TAX_FNCACT_SINGERS,jeff daniels,411,directed
TAX_FNCACT_POLICE_OFFICER,los angeles,408,directed
DISABILITY,donald trump,407,directed
ECON_BOYCOTT,donald trump,401,directed
CONSTITUTIONAL,donald trump,397,directed
UNGP_POLITICAL_FREEDOMS,donald trump,397,directed
TAX_FNCACT_FINANCE_MINISTER,arun jaitley,392,directed
DISCRIMINATION,donald trump,388,directed
TAX_FNCACT_PROFESSOR,donald trump,388,directed
ECON_WORLDCURRENCIES_YEN,shinzo abe,384,directed
TAX_FNCACT_CHAIRMAN,donald trump,384,directed
WB_2944_SERVERS,hillary clinton,383,directed
WB_671_STORAGE_MANAGEMENT,hillary clinton,383,directed
TAX_FNCACT_IMMIGRANTS,donald trump,376,directed
SOC_SUICIDE,los angeles,374,directed
TAX_FNCACT_AIDES,hillary clinton,371,directed
TAX_FNCACT_LAWYER,donald trump,367,directed
TAX_ETHNICITY_ITALIAN,matteo renzi,362,directed
TAX_FNCACT_FATHER,los angeles,362,directed
TAX_WORLDLANGUAGES_ITALIAN,matteo renzi,362,directed
EPU_POLICY_FEDERAL_RESERVE,janet yellen,358,directed
PROPAGANDA,donald trump,355,directed
TAX_FNCACT_VET,donald trump,353,directed
TAX_FNCACT_ACTRESS,los angeles,349,directed
TAX_FNCACT_VICE_PRESIDENT,donald trump,347,directed
EVACUATION,los angeles,344,directed
TAX_FNCACT_ACTOR,los angeles,340,directed
TAX_WORLDMAMMALS_TIGER,tiger temple,340,directed
TAX_WEAPONS_GUNS,los angeles,332,directed
TAX_POLITICAL_PARTY_LIBERTARIAN,gary johnson,328,directed
WB_2082_LAW_ENFORCEMENT,los angeles,328,directed
WB_1608_CASH_TRANSFERS,donald trump,326,directed
WB_1603_FEE_WAIVERS,donald trump,324,directed
TAX_FNCACT_POPE,pope francis,322,directed
TAX_ETHNICITY_MUSLIMS,donald trump,321,directed
TAX_WORLDMAMMALS_BEARS,thane maynard,321,directed
TAX_RELIGION_MUSLIMS,donald trump,320,directed
WB_1606_SCHOLARSHIPS,donald trump,319,directed
TAX_WORLDMAMMALS_POLAR_BEARS,thane maynard,316,directed
EPU_POLICY_LEGISLATION,bruce rauner,314,directed
TAX_WORLDMAMMALS_TIGERS,tiger temple,308,directed
UNGP_CLIMATE_CHANGE_ACTION,donald trump,308,directed
WB_742_YOUTH_AND_GENDER_BASED_VIOLENCE,johnny depp,307,directed
ENV_CLIMATECHANGE,donald trump,304,directed
WB_2441_DOMESTIC_VIOLENCE,johnny depp,304,directed
WB_1039_PROPERTY_LAWS_AND_REGULATIONS,john robinson,300,directed
WB_1040_COPYRIGHT_LAW,john robinson,300,directed
WB_851_INTELLECTUAL_PROPERTY_RIGHTS,john robinson,300,directed
TAX_FNCACT_ASSISTANT,donald trump,299,directed
TAX_TERROR_GROUP_TALIBAN,barack obama,294,directed
TAX_FNCACT_ATTORNEYS,donald trump,293,directed
GENDER_VIOLENCE,johnny depp,284,directed
TAX_FNCACT_INSPECTORS,thane maynard,282,directed
UNEMPLOYMENT,barack obama,281,directed
EPU_POLICY_CONGRESSIONAL,hillary clinton,277,directed
WB_1160_SHOCKS_AND_VULNERABILITY,donald trump,274,directed
WB_2747_UNEMPLOYMENT,barack obama,274,directed
TAX_FNCACT_PROSECUTOR,thane maynard,269,directed
TAX_WORLDLANGUAGES_AFGHAN,barack obama,267,directed
EPU_POLICY_DEFICIT,bruce rauner,263,directed
WB_2467_TERRORISM,sherif fathi,261,directed
TAX_FNCACT_NEWS_REPORTER,donald trump,260,directed
TAX_FNCACT_DELEGATE,hillary clinton,259,directed
TAX_FNCACT_DOCTOR,thane maynard,258,directed
TAX_FNCACT_LAWYERS,los angeles,257,directed
TAX_FNCACT_SCHOLAR,donald trump,254,directed
EXHUMATION,john lethbridge,253,directed
ECON_UNIONS,bruce rauner,252,directed
TAX_FNCACT_SPEAKER,mike hubbard,252,directed
STRIKE,los angeles,249,directed
TAX_FNCACT_INSPECTOR,hillary clinton,249,directed
TAX_FNCACT_PROSECUTORS,thane maynard,249,directed
DRONES,barack obama,248,directed
EMERG_DISTRESSSIGNAL,john lethbridge,248,directed
WB_962_INTERNATIONAL_LAW,donald trump,248,directed
TAX_FNCACT_INSPECTOR_GENERAL,hillary clinton,247,directed
TAX_FNCACT_JOURNALIST,donald trump,241,directed
TAX_FNCACT_EXECUTIVE_DIRECTOR,donald trump,240,directed
TAX_WORLDLANGUAGES_KANCHANABURI,tiger temple,237,directed
VETO,bruce rauner,237,directed
TAX_FNCACT_RUNNER,donald trump,235,directed
WB_1024_PUBLIC_INTERNATIONAL_LAW,donald trump,233,directed
WB_1026_TREATIES,donald trump,233,directed
SCANDAL,donald trump,228,directed
WB_1829_ECOSYSTEM_MANAGEMENT,tiger temple,228,directed
WB_1833_PROTECTED_AREAS_SYSTEMS,tiger temple,228,directed
WB_3007_NATIONAL_PARKS,tiger temple,228,directed
TAX_ETHNICITY_BUDDHIST,tiger temple,226,directed
TAX_POLITICAL_PARTY_LIBERTARIAN_PARTY,gary johnson,226,directed
EPU_CATS_FISCAL_POLICY,bruce rauner,223,directed
TAX_RELIGION_BUDDHIST,tiger temple,223,directed
REBELLION,bashar assad,220,directed
TAX_FNCACT_AGENTS,los angeles,218,directed
DISCRIMINATION_RACE,donald trump,215,directed
TAX_CHRONICDISEASE_HEART_DISEASE,michael jacobson,215,directed
TAX_DISEASE_HEART_DISEASE,michael jacobson,215,directed
WB_1434_HEART_DISEASE,michael jacobson,215,directed
SLFID_DICTATORSHIP,donald trump,213,directed
TAX_WEAPONS_DRONE_STRIKE,barack obama,213,directed
SOC_USSECURITYAGENCIES,donald trump,212,directed
TAX_ETHNICITY_THAI,tiger temple,211,directed
TAX_FNCACT_MAGNATE,donald trump,211,directed
WB_1152_ECONOMIC_AND_SOCIAL_MOBILITY,donald trump,210,directed
WB_707_POVERTY_MEASUREMENT_AND_ANALYSIS,donald trump,210,directed
SEIGE,bashar assad,209,directed
TAX_ETHNICITY_PALESTINIANS,benjamin netanyahu,209,directed
WB_1153_MIDDLE_CLASS,donald trump,209,directed
TAX_FNCACT_AIDE,hillary clinton,208,directed
BLOCKADE,bashar assad,207,directed
TAX_DISEASE_BACTERIA,michael jacobson,207,directed
TAX_FOODSTAPLES_BREAD,michael jacobson,207,directed
ECON_DEFLATION,shinzo abe,206,directed
TAX_POLITICAL_PARTY_WORKER_PARTY,donald trump,206,directed
WB_177_ANIMAL_PRODUCTION,thane maynard,206,directed
WB_2194_ANIMAL_WELFARE,thane maynard,206,directed
TAX_DISEASE_ZIKA,abdulla al-kahn,205,directed
CEASEFIRE,donald trump,204,directed
TAX_ETHNICITY_VENEZUELAN,nicolas maduro,204,directed
ECON_MIDDLECLASS,bruce rauner,203,directed
TAX_DISEASE_ZIKA_VIRUS,abdulla al-kahn,203,directed
TAX_ETHNICITY_MUSLIM,donald trump,203,directed
TAX_FNCACT_JUDGES,simon cowell,203,directed
TAX_RELIGION_MUSLIM,donald trump,202,directed
ECON_WORLDCURRENCIES_FRANCS,angela merkel,201,directed
SOC_POINTSOFINTEREST_MEDICAL_CENTER,abdulla al-kahn,201,directed
WB_2468_CONVENTIONAL_WAR,bashar assad,201,directed
ECON_WORLDCURRENCIES_SWISS_FRANCS,angela merkel,200,directed
TAX_DISEASE_MICROCEPHALY,abdulla al-kahn,200,directed
